,Year,Tm,Player,Age,Games,MP,PER ,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
134,2011,PHI,Evan Turner,22,78,1797,10.8,0.484,0.083,0.23600000000000002,2.7,16.9,9.8,13.4,1.4,0.6,12.0
135,2011,NJN,Jordan Farmar,24,73,1796,14.1,0.504,0.467,0.154,1.5,10.1,5.7,34.9,1.8,0.3,16.7
136,2011,CHI,Ronnie Brewer,25,81,1781,13.8,0.518,0.063,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2
137,2011,DEN,Carmelo Anthony,26,50,1774,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0
138,2011,NYK,Wilson Chandler,23,51,1759,15.7,0.5479999999999999,0.344,0.16699999999999998,4.0,15.8,9.8,8.1,1.0,2.9,8.1
139,2011,MIL,Keyon Dooling,30,80,1757,11.3,0.509,0.451,0.18100000000000002,0.8,7.1,3.9,23.4,1.6,0.2,14.0
140,2011,IND,Brandon Rush,25,67,1754,10.6,0.54,0.433,0.20600000000000002,2.1,11.6,6.9,5.6,1.2,1.5,10.9
141,2011,SAC,Jason Thompson,24,75,1748,13.6,0.5329999999999999,0.006,0.375,9.1,20.7,14.8,7.9,0.8,1.8,13.7
142,2011,PHI,Louis Williams,24,75,1747,18.9,0.54,0.318,0.44799999999999995,2.1,7.7,4.9,24.1,1.4,0.7,9.7
143,2011,CHI,Taj Gibson,25,80,1742,14.3,0.502,0.016,0.295,11.2,19.4,15.4,5.3,1.2,4.6,11.1
144,2011,HOU,Chase Budinger,22,78,1738,14.2,0.534,0.418,0.21,3.4,15.0,9.2,11.5,1.2,0.7,8.5
145,2011,SAS,DeJuan Blair,21,81,1734,17.1,0.524,0.003,0.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9
146,2011,NJN,Devin Harris,27,54,1724,17.6,0.5429999999999999,0.18,0.502,0.7,8.3,4.4,41.2,1.8,0.2,17.5
147,2011,HOU,Courtney Lee,25,81,1723,12.6,0.534,0.302,0.20800000000000002,3.3,10.4,6.9,8.9,1.7,0.7,9.8
148,2011,PHI,Spencer Hawes,22,81,1718,12.8,0.48100000000000004,0.065,0.155,8.7,22.5,15.6,11.2,0.9,3.1,13.8
149,2011,CHA,Kwame Brown,28,66,1714,12.8,0.55,0.0,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6
150,2011,SAC,Omri Casspi,22,71,1702,11.7,0.517,0.452,0.185,4.8,16.0,10.3,6.6,1.6,0.6,10.3
151,2011,DET,Tracy McGrady,31,72,1686,14.9,0.503,0.171,0.251,3.4,15.4,9.1,23.6,2.1,1.6,15.2
152,2011,MIN,Darko Milicic,25,69,1686,12.2,0.48200000000000004,0.0,0.19899999999999998,8.5,15.4,11.8,9.9,1.6,6.3,19.4
153,2011,SAS,Gary Neal,26,80,1685,13.1,0.578,0.48700000000000004,0.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3
154,2011,IND,Mike Dunleavy,30,61,1683,14.6,0.593,0.488,0.24,1.9,16.2,9.1,10.1,1.2,1.3,10.7
155,2011,ATL,Mike Bibby,32,56,1674,11.7,0.57,0.58,0.10400000000000001,1.1,9.1,5.1,18.9,1.2,0.3,12.8
156,2011,NOH,Willie Green,29,77,1674,10.8,0.515,0.255,0.16399999999999998,1.6,10.2,5.9,7.6,1.2,0.6,9.3
157,2011,NYK,Danilo Gallinari,22,48,1671,15.6,0.6,0.47,0.57,3.3,12.5,7.8,7.4,1.1,0.8,8.4
158,2011,DAL,Jose Barea,26,81,1669,14.8,0.535,0.29100000000000004,0.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9
